insee_com,REG,DEP,LIBGEO,LOG,RP,RSECOCC,LOGVAC,MAISON,APPART,RP_1P,RP_2P,RP_3P,RP_4P,RP_5PP,NBPI_RP,RPMAISON,NBPI_RPMAISON,RPAPPART,NBPI_RPAPPART,RP_ACHTOT,RP_ACH1919,RP_ACH1945,RP_ACH1970,RP_ACH1990,RP_ACH2005,RP_ACH2019,RPMAISON_ACH1919,RPMAISON_ACH1945,RPMAISON_ACH1970,RPMAISON_ACH1990,RPMAISON_ACH2005,RPMAISON_ACH2019,RPAPPART_ACH1919,RPAPPART_ACH1945,RPAPPART_ACH1970,RPAPPART_ACH1990,RPAPPART_ACH2005,RPAPPART_ACH2019,MEN,MEN_ANEM0002,MEN_ANEM0204,MEN_ANEM0509,MEN_ANEM10P,MEN_ANEM1019,MEN_ANEM2029,MEN_ANEM30P,PMEN,PMEN_ANEM0002,PMEN_ANEM0204,PMEN_ANEM0509,PMEN_ANEM10P,NBPI_RP_ANEM0002,NBPI_RP_ANEM0204,NBPI_RP_ANEM0509,NBPI_RP_ANEM10P,RP_PROP,RP_LOC,RP_LOCHLMV,RP_GRAT,NPER_RP,NPER_RP_PROP,NPER_RP_LOC,NPER_RP_LOCHLMV,NPER_RP_GRAT,ANEM_RP,ANEM_RP_PROP,ANEM_RP_LOC,ANEM_RP_LOCHLMV,ANEM_RP_GRAT,RP_CGAZV,RP_CFIOUL,RP_CELEC,RP_CGAZB,RP_CAUT,RP_ELEC,RP_EAUCH,RP_BDWC,RP_CHOS,RP_CLIM,RP_TTEGOU,RP_GARL,RP_VOIT1P,RP_VOIT1,RP_VOIT2P,RP_HABFOR,RP_CASE,RP_MIBOIS,RP_MIDUR,AN,RP_ACH19,RP_ACH45,RP_ACH70,RP_ACH90,RP_ACH05,RP_ACH18,RPMAISON_ACH19,RPMAISON_ACH45,RPMAISON_ACH70,RPMAISON_ACH90,RPMAISON_ACH05,RPMAISON_ACH18,RPAPPART_ACH19,RPAPPART_ACH45,RPAPPART_ACH70,RPAPPART_ACH90,RPAPPART_ACH05,RPAPPART_ACH18,RP_SDB,RP_CCCOLL,RP_CCIND,RP_CINDELEC,RP_ACH17,RPMAISON_ACH17,RPAPPART_ACH17,RP_ACH15,RPMAISON_ACH15,RPAPPART_ACH15,RP_ACH14,RPMAISON_ACH14,RPAPPART_ACH14,RP_ACH13,RPMAISON_ACH13,RPAPPART_ACH13,RP_ACH12,RPMAISON_ACH12,RPAPPART_ACH12,RP_ACH11,RPMAISON_ACH11,RPAPPART_ACH11,RP_ACH10,RPMAISON_ACH10,RPAPPART_ACH10,RP_LOCPRIV,Plog_RP,Plog_RS,Plog_VAC,Plog_RP_LOCHLM,Plog_RP_LOCPRIV,Plog_RP_LOC,Plog_RP_PROP,Plog_RP_GRAT,Prp_RP_LOCHLM,Prp_RP_LOCPRIV,Prp_RP_LOC,Prp_RP_PROP,Prp_RP_GRAT
30138,76,30,Langlade,1051,970,37,44,993,57,5,22,111,250,583,4812,912,4626,56,182,906,99.0,11.0,55.0,355.0,192.0,193.0,80.0,11.0,45.0,345.0,182.0,188.0,18.0,0.0,10.0,10.0,10.0,6.0,970,65,151,169,585,211,135,238,2297,162,413,490,1232,282,658,853,3019,826,128,7,15,2297,1979,287,21,31,17967,16754,987,52,226,104.0,54.0,633.0,29.0,150.0,,,,,,,849,934,325,609,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963,92.3,3.5,4.2,0.7,91.6,12.2,78.6,1.4,0.7,99.3,13.2,85.2,1.5
30139,76,30,Lanuéjols,486,159,281,46,376,101,8,18,34,43,56,634,136,579,15,44,157,42.0,16.0,17.0,34.0,27.0,21.0,40.0,14.0,12.0,30.0,17.0,21.0,2.0,1.0,5.0,4.0,3.0,0.0,159,18,26,29,86,39,14,33,322,32,54,64,172,58,92,116,368,106,42,4,11,322,234,71,7,17,2627,2236,181,4,210,3.0,55.0,28.0,9.0,64.0,,,,,,,101,140,74,66,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,32.7,57.8,9.5,0.8,31.9,8.6,21.8,2.3,2.5,97.5,26.4,66.7,6.9
30140,76,30,Lasalle,1001,623,303,75,701,292,19,69,185,151,198,2519,382,1775,233,734,619,272.0,61.0,79.0,97.0,72.0,38.0,165.0,19.0,39.0,73.0,55.0,28.0,106.0,42.0,38.0,21.0,18.0,9.0,623,69,155,114,285,118,73,94,1120,121,320,203,476,229,586,444,1260,320,276,35,26,1120,585,478,61,58,8561,5813,2296,453,452,3.0,72.0,318.0,14.0,216.0,,,,,,,304,539,380,159,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,62.2,30.3,7.5,3.5,58.7,27.6,32.0,2.6,5.6,94.4,44.3,51.4,4.2
30141,76,30,Laudun-l'Ardoise,2884,2554,99,231,2370,497,32,139,387,926,1070,11152,2131,9816,409,1314,2399,238.0,75.0,467.0,600.0,474.0,545.0,196.0,50.0,310.0,524.0,398.0,507.0,40.0,25.0,153.0,72.0,72.0,38.0,2554,367,446,452,1289,512,289,488,5880,839,1111,1184,2746,1398,1904,1926,5924,1683,795,322,76,5880,3921,1820,806,139,40503,33928,5339,2820,1236,505.0,160.0,1503.0,26.0,359.0,,,,,,,2042,2385,1074,1311,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231,88.6,3.4,8.0,11.2,77.4,27.6,58.4,2.6,12.6,87.4,31.1,65.9,3.0
30142,76,30,Laval-Pradel,676,534,78,64,579,93,0,37,93,218,185,2244,474,2031,59,210,534,152.0,54.0,68.0,119.0,82.0,59.0,123.0,48.0,64.0,110.0,79.0,51.0,28.0,6.0,4.0,10.0,2.0,8.0,534,46,86,80,322,130,77,115,1088,86,158,196,648,185,322,341,1396,371,152,1,10,1088,791,279,1,18,9788,8356,1291,28,141,45.0,167.0,171.0,15.0,137.0,,,,,,,427,485,235,250,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,79.0,11.5,9.5,0.1,78.8,22.5,54.9,1.5,0.2,99.8,28.5,69.5,1.9
30143,76,30,Laval-Saint-Roman,157,98,52,8,147,11,2,4,10,21,62,473,92,457,6,17,95,20.0,2.0,10.0,26.0,20.0,16.0,19.0,0.0,10.0,25.0,19.0,16.0,1.0,2.0,0.0,1.0,2.0,0.0,98,7,16,14,61,15,16,30,213,19,38,27,129,27,68,72,306,83,14,0,1,213,183,29,0,2,2102,1961,118,0,22,0.0,14.0,42.0,1.0,41.0,,,,,,,79,94,35,59,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,62.4,33.1,5.1,0.0,62.4,8.9,52.9,0.6,0.0,100.0,14.3,84.7,1.0
30144,76,30,Lecques,221,196,14,12,205,15,1,6,25,65,100,921,184,888,11,29,196,39.0,10.0,12.0,33.0,59.0,44.0,36.0,7.0,9.0,32.0,57.0,43.0,2.0,2.0,3.0,1.0,2.0,0.0,196,18,41,34,104,50,18,35,473,46,115,83,229,76,177,152,516,141,47,0,9,473,346,112,0,15,3339,2962,309,0,68,0.0,31.0,126.0,3.0,36.0,,,,,,,157,178,74,104,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,88.7,6.3,5.4,0.0,88.7,21.3,63.8,4.1,0.0,100.0,24.0,71.9,4.6
30145,76,30,Lédenon,776,693,52,31,705,62,9,40,116,223,305,3079,627,2890,58,171,693,77.0,40.0,56.0,212.0,191.0,116.0,68.0,30.0,49.0,199.0,177.0,104.0,9.0,10.0,6.0,14.0,13.0,6.0,693,72,139,106,375,138,115,122,1676,156,349,296,875,266,552,478,1782,516,149,1,29,1676,1299,315,2,62,10949,9828,772,3,349,60.0,78.0,403.0,27.0,126.0,,,,,,,542,657,286,371,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,89.3,6.7,4.0,0.1,89.2,19.2,66.5,3.7,0.1,99.9,21.5,74.5,4.2
30146,76,30,Lédignan,753,634,36,83,624,129,7,27,96,201,304,2886,537,2565,97,322,634,100.0,50.0,73.0,118.0,161.0,133.0,83.0,39.0,63.0,107.0,134.0,111.0,16.0,11.0,10.0,11.0,27.0,21.0,634,62,131,96,346,154,58,134,1490,138,345,256,751,248,544,420,1674,433,181,45,19,1490,1023,426,110,42,10542,9068,1185,340,289,120.0,79.0,354.0,14.0,66.0,,,,,,,478,595,254,341,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,84.2,4.8,11.0,6.0,78.2,24.0,57.5,2.5,7.1,92.9,28.5,68.3,3.0
30147,76,30,Lézan,828,728,44,56,652,175,16,59,123,229,301,3132,576,2694,151,436,691,145.0,42.0,74.0,156.0,133.0,141.0,88.0,28.0,47.0,139.0,116.0,128.0,57.0,14.0,27.0,16.0,17.0,13.0,728,123,159,129,317,140,74,103,1555,248,352,293,662,462,628,530,1512,457,258,10,13,1555,997,531,36,27,9740,8243,1401,60,96,7.0,93.0,482.0,24.0,122.0,,,,,,,507,674,345,329,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,87.9,5.3,6.8,1.2,86.7,31.2,55.2,1.6,1.4,98.6,35.4,62.8,1.8
30148,76,30,Liouc,166,142,15,9,153,13,2,9,21,42,67,634,133,610,9,24,142,20.0,4.0,8.0,23.0,35.0,51.0,19.0,4.0,7.0,21.0,33.0,48.0,1.0,0.0,1.0,2.0,2.0,3.0,142,15,40,28,59,36,12,11,330,39,95,71,125,69,181,115,269,115,26,0,0,330,279,51,0,0,1606,1402,203,0,0,0.0,15.0,66.0,7.0,53.0,,,,,,,115,139,47,92,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,85.5,9.0,5.4,0.0,85.5,15.7,69.3,0.0,0.0,100.0,18.3,81.0,0.0
30149,76,30,Lirac,477,424,25,29,420,56,5,26,58,123,211,1916,376,1782,47,134,391,40.0,20.0,35.0,138.0,99.0,58.0,36.0,17.0,27.0,129.0,94.0,58.0,4.0,4.0,8.0,9.0,6.0,0.0,424,41,93,65,225,70,69,85,938,108,216,150,464,157,367,294,1099,306,106,18,11,938,680,238,47,20,7078,6259,598,48,221,2.0,56.0,265.0,11.0,90.0,,,,,,,346,405,165,241,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,88.9,5.2,6.1,3.8,84.9,22.2,64.2,2.3,4.2,95.5,25.0,72.2,2.6
30150,76,30,Logrian-Florian,174,122,36,15,167,7,1,4,23,39,56,559,116,534,6,25,122,39.0,7.0,7.0,18.0,22.0,29.0,34.0,7.0,7.0,18.0,22.0,28.0,5.0,0.0,0.0,0.0,0.0,1.0,122,7,21,18,76,38,26,11,263,17,49,42,156,28,89,82,359,94,21,0,7,263,205,46,0,12,1845,1682,124,0,39,0.0,24.0,49.0,7.0,42.0,,,,,,,90,112,52,60,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,70.1,20.7,8.6,0.0,70.1,12.1,54.0,4.0,0.0,100.0,17.2,77.0,5.7
30151,76,30,Lussan,502,249,205,48,463,39,4,18,42,70,115,1125,224,1057,25,68,245,99.0,8.0,18.0,42.0,45.0,33.0,84.0,6.0,16.0,39.0,42.0,33.0,15.0,2.0,2.0,3.0,3.0,0.0,249,24,49,46,130,58,30,43,528,41,98,108,281,83,189,211,642,178,64,3,7,528,394,117,5,17,3983,3555,370,17,58,0.0,40.0,90.0,7.0,112.0,,,,,,,178,239,114,125,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,49.6,40.8,9.6,0.6,49.0,12.7,35.5,1.4,1.2,98.8,25.7,71.5,2.8
30152,76,30,Les Mages,1196,941,136,120,1093,95,0,35,140,331,434,4268,854,3966,81,281,941,153.0,42.0,81.0,258.0,194.0,213.0,121.0,34.0,69.0,246.0,183.0,201.0,33.0,8.0,9.0,12.0,9.0,9.0,941,96,139,144,562,250,109,203,2107,223,320,357,1207,392,579,617,2681,746,172,3,23,2107,1680,388,9,40,15996,14794,871,14,331,129.0,199.0,363.0,35.0,215.0,,,,,,,742,889,422,466,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,78.7,11.4,10.0,0.3,78.4,14.4,62.4,1.9,0.3,99.7,18.3,79.3,2.4
30153,76,30,Malons-et-Elze,209,75,128,7,188,3,10,18,11,20,16,241,64,223,2,4,74,27.0,4.0,6.0,7.0,18.0,11.0,24.0,4.0,6.0,7.0,15.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,75,9,3,18,45,20,12,12,115,17,6,27,65,28,10,52,151,55,11,0,8,115,85,20,0,10,1281,1122,45,0,114,0.0,3.0,6.0,0.0,65.0,,,,,,,42,66,46,21,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,35.9,61.2,3.3,0.0,35.9,5.3,26.3,3.8,0.0,100.0,14.7,73.3,10.7
30154,76,30,Mandagout,378,198,176,4,358,20,0,16,27,61,94,893,180,832,18,61,193,90.0,14.0,12.0,27.0,34.0,16.0,83.0,12.0,9.0,27.0,29.0,16.0,7.0,2.0,3.0,0.0,5.0,0.0,198,18,35,22,123,39,39,45,370,40,61,52,217,74,148,103,568,155,33,0,10,370,291,65,0,14,3785,3460,249,0,76,2.0,41.0,31.0,13.0,111.0,,,,,,,128,186,103,83,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,52.4,46.6,1.1,0.0,52.4,8.7,41.0,2.6,0.0,100.0,16.7,78.3,5.1
30155,76,30,Manduel,3154,2950,30,174,2665,470,22,150,475,985,1318,13097,2500,11746,439,1322,2884,199.0,112.0,226.0,1276.0,445.0,625.0,158.0,63.0,184.0,1206.0,390.0,445.0,41.0,49.0,42.0,68.0,53.0,176.0,2950,227,533,559,1632,546,403,683,7042,541,1390,1554,3557,888,2211,2313,7685,2093,791,214,66,7042,5073,1845,550,124,50859,44773,5266,1621,820,590.0,72.0,1894.0,37.0,358.0,,,,,,,2322,2787,1348,1439,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736,93.5,1.0,5.5,6.8,86.7,25.1,66.4,2.1,7.3,92.7,26.8,70.9,2.2
30156,76,30,Marguerittes,4039,3749,47,243,3416,568,101,225,560,1375,1488,15917,3171,14305,523,1525,3708,200.0,150.0,376.0,1774.0,840.0,368.0,160.0,123.0,307.0,1655.0,692.0,212.0,39.0,27.0,62.0,84.0,143.0,151.0,3749,323,629,590,2207,657,544,1006,8262,730,1527,1524,4481,1150,2364,2334,10069,2688,971,216,90,8262,5972,2121,526,169,69743,62256,6556,1886,931,856.0,143.0,2346.0,21.0,383.0,,,,,,,2917,3423,1776,1647,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3533,92.8,1.2,6.0,5.3,87.5,24.0,66.6,2.2,5.8,94.2,25.9,71.7,2.4
30158,76,30,Martignargues,217,182,32,3,207,8,0,2,22,58,101,885,176,863,6,20,171,23.0,4.0,13.0,42.0,50.0,39.0,21.0,3.0,13.0,39.0,50.0,39.0,2.0,1.0,0.0,3.0,0.0,0.0,182,14,37,29,102,35,29,38,438,38,87,76,237,64,168,142,510,147,29,0,6,438,366,65,0,7,3220,2957,136,0,127,1.0,21.0,106.0,3.0,52.0,,,,,,,151,178,71,107,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,83.9,14.7,1.4,0.0,83.9,13.4,67.7,2.8,0.0,100.0,15.9,80.8,3.3
30159,76,30,Le Martinet,594,386,143,65,310,283,32,32,92,108,121,1522,197,931,188,583,382,123.0,105.0,49.0,53.0,27.0,25.0,72.0,34.0,26.0,18.0,21.0,23.0,51.0,71.0,23.0,35.0,6.0,2.0,386,41,86,69,190,72,49,68,739,75,177,118,369,137,290,222,873,217,164,33,5,739,434,298,71,7,6070,4571,1439,616,60,70.0,44.0,165.0,4.0,102.0,,,,,,,235,314,195,119,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,65.0,24.1,10.9,5.6,59.4,27.6,36.5,0.8,8.5,91.5,42.5,56.2,1.3
30160,76,30,Maruéjols-lès-Gardon,144,118,6,19,112,32,0,2,29,37,50,527,99,456,19,71,118,31.0,5.0,11.0,21.0,16.0,34.0,27.0,5.0,6.0,16.0,14.0,31.0,4.0,0.0,4.0,5.0,2.0,3.0,118,13,32,17,57,20,8,28,275,35,67,55,119,44,144,76,262,79,34,0,5,275,182,84,0,9,2092,1840,183,0,69,1.0,22.0,67.0,2.0,26.0,,,,,,,88,111,47,64,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,81.9,4.2,13.2,0.0,81.9,23.6,54.9,3.5,0.0,100.0,28.8,66.9,4.2
30161,76,30,Massanes,120,90,12,18,110,10,0,3,9,19,59,464,83,444,7,20,86,25.0,1.0,5.0,27.0,17.0,11.0,23.0,1.0,5.0,27.0,16.0,8.0,2.0,0.0,0.0,0.0,1.0,3.0,90,12,9,9,60,23,15,23,195,29,21,14,131,56,62,42,304,77,10,0,3,195,175,15,0,6,1820,1700,72,0,48,0.0,11.0,47.0,1.0,30.0,,,,,,,50,83,35,48,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,75.0,10.0,15.0,0.0,75.0,8.3,64.2,2.5,0.0,100.0,11.1,85.6,3.3
30162,76,30,Massillargues-Attuech,440,320,83,36,370,48,3,9,50,115,143,1459,285,1340,30,103,320,75.0,23.0,26.0,67.0,82.0,48.0,60.0,17.0,23.0,63.0,78.0,44.0,15.0,6.0,2.0,3.0,3.0,0.0,320,23,56,57,184,87,39,58,669,63,105,135,366,106,224,250,879,253,57,0,10,669,539,111,0,19,5249,4765,378,0,106,9.0,70.0,124.0,10.0,108.0,,,,,,,244,311,159,152,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,72.7,18.9,8.2,0.0,72.7,13.0,57.5,2.3,0.0,100.0,17.8,79.1,3.1
30163,76,30,Mauressargues,91,77,7,8,80,10,0,2,9,23,43,374,66,331,10,38,77,13.0,11.0,4.0,5.0,24.0,20.0,10.0,7.0,4.0,5.0,23.0,16.0,2.0,4.0,0.0,0.0,0.0,4.0,77,5,22,10,40,19,10,10,175,7,56,23,89,25,93,51,205,56,18,0,3,175,139,31,0,5,1192,1004,104,0,83,0.0,10.0,41.0,2.0,24.0,,,,,,,69,77,33,44,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,84.6,7.7,8.8,0.0,84.6,19.8,61.5,3.3,0.0,100.0,23.4,72.7,3.9
30164,76,30,Méjannes-le-Clap,975,370,592,13,889,44,2,18,83,125,142,1587,324,1423,35,125,359,9.0,0.0,14.0,127.0,69.0,140.0,9.0,0.0,11.0,102.0,61.0,130.0,0.0,0.0,3.0,24.0,3.0,5.0,370,44,79,75,172,124,27,21,740,92,166,146,336,188,306,303,790,280,75,15,15,740,552,160,29,28,3940,3220,593,188,127,0.0,15.0,208.0,12.0,135.0,,,,,,,293,355,206,149,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,37.9,60.7,1.3,1.5,36.4,7.7,28.7,1.5,4.1,95.9,20.3,75.7,4.1
30165,76,30,Méjannes-lès-Alès,596,536,32,28,545,51,3,21,65,201,246,2425,500,2316,35,106,536,54.0,22.0,52.0,157.0,142.0,108.0,51.0,21.0,46.0,148.0,133.0,101.0,3.0,1.0,6.0,8.0,10.0,6.0,536,57,104,63,311,111,77,123,1229,135,276,151,667,231,428,289,1476,381,141,0,13,1229,864,332,0,33,9751,8772,840,0,139,74.0,124.0,228.0,30.0,80.0,,,,,,,476,515,222,293,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,89.9,5.4,4.7,0.0,89.9,23.7,63.9,2.2,0.0,100.0,26.3,71.1,2.4
30166,76,30,Meynes,1223,1083,61,79,1027,192,16,98,211,310,447,4642,923,4212,156,420,1083,145.0,53.0,129.0,350.0,232.0,175.0,113.0,42.0,92.0,325.0,196.0,156.0,31.0,11.0,35.0,25.0,34.0,19.0,1083,133,178,169,604,251,149,203,2495,260,419,445,1371,480,672,693,2797,744,304,0,35,2495,1810,610,0,75,17030,14732,1820,0,478,108.0,184.0,603.0,17.0,171.0,,,,,,,815,1025,461,564,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,88.6,5.0,6.5,0.0,88.6,24.9,60.8,2.9,0.0,100.0,28.1,68.7,3.2
30167,76,30,Meyrannes,620,415,145,61,446,171,3,28,91,149,144,1738,316,1408,98,327,415,89.0,69.0,36.0,105.0,68.0,48.0,62.0,34.0,27.0,91.0,57.0,45.0,27.0,35.0,9.0,14.0,11.0,2.0,415,41,65,76,233,81,49,103,783,70,147,150,416,138,249,319,1032,294,104,1,16,783,565,192,4,26,7550,6635,730,3,185,75.0,75.0,147.0,5.0,112.0,,,,,,,280,371,210,161,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,66.9,23.4,9.8,0.2,66.8,16.8,47.4,2.6,0.2,99.8,25.1,70.8,3.9
30168,76,30,Mialet,658,328,301,29,562,83,7,19,65,85,152,1514,286,1386,37,121,322,150.0,11.0,37.0,63.0,33.0,28.0,128.0,7.0,31.0,60.0,30.0,24.0,21.0,4.0,6.0,3.0,2.0,1.0,328,21,53,60,194,73,52,69,628,36,118,122,352,79,222,274,939,253,58,0,17,628,495,111,0,22,5899,5091,534,0,274,0.0,51.0,84.0,26.0,167.0,,,,,,,224,305,137,168,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,49.8,45.7,4.4,0.0,49.8,8.8,38.4,2.6,0.0,100.0,17.7,77.1,5.2
30169,76,30,Milhaud,2893,2686,69,138,2066,736,111,303,494,892,885,10704,1928,8721,671,1842,2505,179.0,104.0,294.0,1035.0,479.0,415.0,142.0,68.0,194.0,941.0,336.0,205.0,36.0,36.0,68.0,70.0,126.0,198.0,2686,339,548,409,1390,431,322,637,6068,717,1361,1054,2936,1107,1982,1547,6068,1730,909,382,47,6068,4056,1915,901,97,45705,39880,5259,2155,566,778.0,72.0,1567.0,31.0,238.0,,,,,,,2140,2423,1365,1058,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,92.8,2.4,4.8,13.2,79.6,31.4,59.8,1.6,14.2,85.8,33.8,64.4,1.7
30170,76,30,Molières-Cavaillac,546,421,78,47,475,68,23,28,54,153,164,1778,362,1630,56,143,421,75.0,33.0,45.0,128.0,97.0,43.0,67.0,25.0,36.0,120.0,91.0,22.0,7.0,8.0,9.0,6.0,6.0,20.0,421,38,57,57,269,101,63,105,831,79,129,111,512,121,215,213,1228,313,91,0,16,831,619,180,0,32,8149,7295,586,0,268,50.0,142.0,111.0,17.0,101.0,,,,,,,293,380,205,175,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,77.1,14.3,8.6,0.0,77.1,16.7,57.3,2.9,0.0,100.0,21.6,74.3,3.8
30171,76,30,Molières-sur-Cèze,1008,595,92,321,414,587,8,45,219,175,148,2322,308,1382,280,916,590,187.0,101.0,164.0,62.0,40.0,36.0,105.0,27.0,46.0,51.0,40.0,34.0,80.0,72.0,117.0,9.0,0.0,2.0,595,68,112,102,313,118,77,117,1117,121,228,190,578,234,417,392,1279,309,274,143,13,1117,601,499,272,17,9656,6260,3242,2050,154,185.0,41.0,196.0,10.0,162.0,,,,,,,363,506,329,177,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,59.0,9.1,31.8,14.2,44.8,27.2,30.7,1.3,24.0,76.0,46.1,51.9,2.2
30172,76,30,Monoblet,489,346,117,27,434,47,1,20,59,101,165,1669,297,1500,41,151,324,119.0,14.0,19.0,58.0,44.0,71.0,97.0,11.0,14.0,54.0,35.0,66.0,20.0,3.0,5.0,3.0,7.0,2.0,346,30,63,63,190,87,38,65,775,71,165,158,381,146,305,290,928,268,58,6,20,775,591,138,11,46,5496,4752,483,82,261,0.0,32.0,120.0,5.0,188.0,,,,,,,264,328,152,176,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,70.8,23.9,5.5,1.2,69.5,11.9,54.8,4.1,1.7,98.3,16.8,77.5,5.8
30173,76,30,Mons,895,774,51,70,832,58,7,29,67,240,431,3695,726,3573,43,111,731,66.0,28.0,60.0,283.0,110.0,184.0,61.0,19.0,48.0,277.0,107.0,175.0,5.0,8.0,12.0,7.0,1.0,7.0,774,66,112,142,455,167,95,192,1789,144,264,404,977,282,499,662,2252,662,93,0,20,1789,1559,186,0,44,14092,13379,412,0,300,59.0,79.0,459.0,23.0,154.0,,,,,,,680,749,278,471,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,86.5,5.7,7.8,0.0,86.5,10.4,74.0,2.2,0.0,100.0,12.0,85.5,2.6
30174,76,30,Montaren-et-Saint-Médiers,854,659,126,69,787,60,4,28,94,200,332,3086,609,2941,46,134,659,110.0,19.0,44.0,239.0,170.0,77.0,103.0,12.0,34.0,229.0,157.0,73.0,7.0,7.0,8.0,7.0,12.0,4.0,659,79,109,96,375,135,106,134,1390,167,247,226,749,330,480,455,1821,479,162,0,18,1390,993,367,0,31,10921,9722,966,0,232,151.0,66.0,302.0,10.0,130.0,,,,,,,498,626,324,302,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,77.2,14.8,8.1,0.0,77.2,19.0,56.1,2.1,0.0,100.0,24.6,72.7,2.7
30175,76,30,Montclus,205,106,90,9,174,26,11,20,19,18,38,420,78,369,24,44,106,26.0,6.0,9.0,24.0,26.0,14.0,24.0,6.0,8.0,18.0,8.0,14.0,1.0,0.0,1.0,5.0,17.0,0.0,106,13,18,23,51,19,13,20,177,21,23,52,81,29,58,102,231,66,35,0,6,177,121,50,0,6,1849,1579,174,0,96,1.0,23.0,23.0,17.0,42.0,,,,,,,64,90,57,32,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,51.7,43.9,4.4,0.0,51.7,17.1,32.2,2.9,0.0,100.0,33.0,62.3,5.7
30176,76,30,Montdardier,212,110,69,34,181,29,1,6,27,26,50,500,97,464,12,34,106,41.0,13.0,6.0,13.0,19.0,14.0,37.0,9.0,2.0,13.0,19.0,14.0,4.0,4.0,4.0,0.0,0.0,0.0,110,7,20,26,57,18,15,24,198,13,45,49,91,24,89,111,276,94,15,0,1,198,170,25,0,3,1964,1812,151,0,1,0.0,16.0,47.0,2.0,44.0,,,,,,,56,103,58,45,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,51.9,32.5,16.0,0.0,51.9,7.1,44.3,0.5,0.0,100.0,13.6,85.5,0.9
