LIBGEO,AN,TYPE_LOG,NOMBRE
Langlade,2022,Résidences principales,969.55232582861
Lanuéjols,2022,Résidences principales,159.0
Lasalle,2022,Résidences principales,622.608925436608
Laudun-l'Ardoise,2022,Résidences principales,2553.89745010511
Laval-Pradel,2022,Résidences principales,533.690899462499
Laval-Saint-Roman,2022,Résidences principales,97.7460884427971
Lecques,2022,Résidences principales,195.901526751713
Lédenon,2022,Résidences principales,693.210903518419
Lédignan,2022,Résidences principales,634.193689761711
Lézan,2022,Résidences principales,728.0
Liouc,2022,Résidences principales,141.725107417016
Lirac,2022,Résidences principales,423.597918009128
Logrian-Florian,2022,Résidences principales,122.438940580596
Lussan,2022,Résidences principales,248.863233433807
Les Mages,2022,Résidences principales,940.720136194052
Malons-et-Elze,2022,Résidences principales,74.5945945945949
Mandagout,2022,Résidences principales,198.0
Manduel,2022,Résidences principales,2950.15488960096
Marguerittes,2022,Résidences principales,3749.0
Martignargues,2022,Résidences principales,182.199890999493
Le Martinet,2022,Résidences principales,385.713472737866
Maruéjols-lès-Gardon,2022,Résidences principales,117.98772971465
Massanes,2022,Résidences principales,90.173410404624
Massillargues-Attuech,2022,Résidences principales,320.392813741972
Mauressargues,2022,Résidences principales,77.0852238916954
Méjannes-le-Clap,2022,Résidences principales,370.0
Méjannes-lès-Alès,2022,Résidences principales,535.977356740464
Meynes,2022,Résidences principales,1083.14261195066
Meyrannes,2022,Résidences principales,414.646574970944
Mialet,2022,Résidences principales,328.0
Milhaud,2022,Résidences principales,2686.00849466518
Molières-Cavaillac,2022,Résidences principales,420.788073792466
Molières-sur-Cèze,2022,Résidences principales,595.03928450285
Monoblet,2022,Résidences principales,345.928158927716
Mons,2022,Résidences principales,774.403616858954
Montaren-et-Saint-Médiers,2022,Résidences principales,658.915649449779
Montclus,2022,Résidences principales,105.7025095293
Montdardier,2022,Résidences principales,109.595333363425
Monteils,2022,Résidences principales,281.047666066287
Montfaucon,2022,Résidences principales,650.327832082954
Montfrin,2022,Résidences principales,1374.55845164218
Montignargues,2022,Résidences principales,239.844417743139
Montmirat,2022,Résidences principales,177.057308957304
Montpezat,2022,Résidences principales,550.556639001696
Moulézan,2022,Résidences principales,288.0
Moussac,2022,Résidences principales,634.254808342345
Mus,2022,Résidences principales,666.0
Nages-et-Solorgues,2022,Résidences principales,897.63523706358
Navacelles,2022,Résidences principales,149.566206061206
Ners,2022,Résidences principales,354.86665306112
Nîmes,2022,Résidences principales,72555.2087349272
Orsan,2022,Résidences principales,526.601793923775
Orthoux-Sérignac-Quilhan,2022,Résidences principales,209.623095600065
Parignargues,2022,Résidences principales,244.253228858567
Peyremale,2022,Résidences principales,146.0
Peyrolles,2022,Résidences principales,17.5666666666666
Le Pin,2022,Résidences principales,193.238159082516
Les Plans,2022,Résidences principales,117.414296116727
Les Plantiers,2022,Résidences principales,125.0
Pommiers,2022,Résidences principales,27.9818181818183
Pompignan,2022,Résidences principales,376.0
Ponteils-et-Brésis,2022,Résidences principales,159.614096283309
Pont-Saint-Esprit,2022,Résidences principales,5160.27512483655
Portes,2022,Résidences principales,163.0
Potelières,2022,Résidences principales,176.570591477216
Pougnadoresse,2022,Résidences principales,110.127058223756
Poulx,2022,Résidences principales,1788.49649072176
Pouzilhac,2022,Résidences principales,306.0
Puechredon,2022,Résidences principales,24.0
Pujaut,2022,Résidences principales,1746.94492133409
Quissac,2022,Résidences principales,1465.56239334336
Redessan,2022,Résidences principales,1724.0
Remoulins,2022,Résidences principales,1061.53257589468
Revens,2022,Résidences principales,14.2432432432432
Ribaute-les-Tavernes,2022,Résidences principales,881.818980237416
Rivières,2022,Résidences principales,195.233559103791
Robiac-Rochessadoule,2022,Résidences principales,429.0
Rochefort-du-Gard,2022,Résidences principales,3372.0
Rochegude,2022,Résidences principales,118.0
Rogues,2022,Résidences principales,48.293476702951
Roquedur,2022,Résidences principales,88.5119395395875
Roquemaure,2022,Résidences principales,2429.41394183893
La Roque-sur-Cèze,2022,Résidences principales,89.4576271186441
Rousson,2022,Résidences principales,1856.78050182842
La Rouvière,2022,Résidences principales,293.216046047907
Sabran,2022,Résidences principales,758.801536767033
Saint-Alexandre,2022,Résidences principales,554.0
Saint-Ambroix,2022,Résidences principales,1725.11540242782
Sainte-Anastasie,2022,Résidences principales,739.444359796597
Saint-André-de-Majencoules,2022,Résidences principales,305.777269198427
Saint-André-de-Roquepertuis,2022,Résidences principales,278.948223454203
Saint-André-de-Valborgne,2022,Résidences principales,200.792885167432
Saint-André-d'Olérargues,2022,Résidences principales,199.0
Saint-Bauzély,2022,Résidences principales,259.921236017301
Saint-Bénézet,2022,Résidences principales,123.006323833024
Saint-Bonnet-du-Gard,2022,Résidences principales,354.526320990444
Saint-Bonnet-de-Salendrinque,2022,Résidences principales,57.6744186046511
Saint-Brès,2022,Résidences principales,335.745565470916
Saint-Bresson,2022,Résidences principales,43.0303030303032
Sainte-Cécile-d'Andorge,2022,Résidences principales,251.0
Saint-Césaire-de-Gauzignan,2022,Résidences principales,161.314342411137
Saint-Chaptes,2022,Résidences principales,867.654916145557
Saint-Christol-de-Rodières,2022,Résidences principales,87.0
Saint-Christol-lez-Alès,2022,Résidences principales,3226.7074397796
Saint-Clément,2022,Résidences principales,159.222339904702
Saint-Côme-et-Maruéjols,2022,Résidences principales,350.8050012974
Sainte-Croix-de-Caderle,2022,Résidences principales,53.8325167062871
Saint-Denis,2022,Résidences principales,131.671120493408
Saint-Dézéry,2022,Résidences principales,183.254865711966
Saint-Dionisy,2022,Résidences principales,447.794296612083
Saint-Étienne-de-l'Olm,2022,Résidences principales,179.0
Saint-Étienne-des-Sorts,2022,Résidences principales,253.588027266977
Saint-Félix-de-Pallières,2022,Résidences principales,115.675512851892
Saint-Florent-sur-Auzonnet,2022,Résidences principales,622.401258549953
Saint-Geniès-de-Comolas,2022,Résidences principales,842.872128956127
Saint-Geniès-de-Malgoirès,2022,Résidences principales,1319.0469593247
Saint-Gervais,2022,Résidences principales,365.425786013492
Saint-Gervasy,2022,Résidences principales,814.24107317815
Saint-Gilles,2022,Résidences principales,6169.23724411246
Saint-Hilaire-de-Brethmas,2022,Résidences principales,2001.01417864846
Saint-Hilaire-d'Ozilhan,2022,Résidences principales,449.248027301652
Saint-Hippolyte-de-Caton,2022,Résidences principales,118.429855011751
Saint-Hippolyte-de-Montaigu,2022,Résidences principales,118.375963930877
Saint-Hippolyte-du-Fort,2022,Résidences principales,1822.44981563895
Saint-Jean-de-Ceyrargues,2022,Résidences principales,77.4785276073617
Saint-Jean-de-Crieulon,2022,Résidences principales,116.036951010079
Saint-Jean-de-Maruéjols-et-Avéjan,2022,Résidences principales,432.750191232154
Saint-Jean-de-Serres,2022,Résidences principales,246.521832545159
Saint-Jean-de-Valériscle,2022,Résidences principales,282.48140569962
Saint-Jean-du-Gard,2022,Résidences principales,1291.34767175425
Saint-Jean-du-Pin,2022,Résidences principales,664.736169048329
Saint-Julien-de-Cassagnas,2022,Résidences principales,338.721854619858
Saint-Julien-de-la-Nef,2022,Résidences principales,68.0
Saint-Julien-de-Peyrolas,2022,Résidences principales,629.896349554757
Saint-Julien-les-Rosiers,2022,Résidences principales,1513.77001808067
Saint-Just-et-Vacquières,2022,Résidences principales,134.374528369495
Saint-Laurent-d'Aigouze,2022,Résidences principales,1708.88824307492
Saint-Laurent-de-Carnols,2022,Résidences principales,245.069488810365
Saint-Laurent-des-Arbres,2022,Résidences principales,1203.90451561117
Saint-Laurent-la-Vernède,2022,Résidences principales,338.0
Saint-Laurent-le-Minier,2022,Résidences principales,184.161176350911
Saint-Mamert-du-Gard,2022,Résidences principales,688.0
Saint-Marcel-de-Careiret,2022,Résidences principales,373.568118505367
Saint-Martial,2022,Résidences principales,102.57086876042
Saint-Martin-de-Valgalgues,2022,Résidences principales,2086.464136295
Saint-Maurice-de-Cazevieille,2022,Résidences principales,331.0
Saint-Maximin,2022,Résidences principales,361.232884990405
Saint-Michel-d'Euzet,2022,Résidences principales,321.010421248386
Saint-Nazaire,2022,Résidences principales,570.962809400281
Saint-Nazaire-des-Gardies,2022,Résidences principales,31.0
Saint-Paulet-de-Caisson,2022,Résidences principales,859.171926501566
Saint-Paul-la-Coste,2022,Résidences principales,152.0
Saint-Pons-la-Calm,2022,Résidences principales,230.0
Saint-Privat-de-Champclos,2022,Résidences principales,163.538045515543
Saint-Privat-des-Vieux,2022,Résidences principales,2451.85234822359
Saint-Quentin-la-Poterie,2022,Résidences principales,1472.65190460349
Saint-Roman-de-Codières,2022,Résidences principales,85.0
Saint-Sauveur-Camprieu,2022,Résidences principales,120.758247341324
Saint-Sébastien-d'Aigrefeuille,2022,Résidences principales,238.507596877818
Saint-Siffret,2022,Résidences principales,513.250897146807
Saint-Théodorit,2022,Résidences principales,245.769739030201
