LIBGEO,AN,TYPO,NOMBRE
Aigaliers,2022,T1,5
Aigremont,2022,T1,4
Aigues-Mortes,2022,T1,74
Aigues-Vives,2022,T1,25
Aiguèze,2022,T1,0
Aimargues,2022,T1,27
Alès,2022,T1,1388
Allègre-les-Fumades,2022,T1,8
Alzon,2022,T1,1
Anduze,2022,T1,58
Les Angles,2022,T1,101
Aramon,2022,T1,47
Argilliers,2022,T1,0
Arpaillargues-et-Aureillac,2022,T1,2
Arphy,2022,T1,3
Arre,2022,T1,1
Arrigas,2022,T1,0
Aspères,2022,T1,0
Aubais,2022,T1,24
Aubord,2022,T1,2
Aubussargues,2022,T1,1
Aujac,2022,T1,1
Aujargues,2022,T1,1
Aulas,2022,T1,1
Aumessas,2022,T1,3
Avèze,2022,T1,7
Bagard,2022,T1,5
Bagnols-sur-Cèze,2022,T1,310
Barjac,2022,T1,15
Baron,2022,T1,0
La Bastide-d'Engras,2022,T1,1
Beaucaire,2022,T1,152
Beauvoisin,2022,T1,27
Bellegarde,2022,T1,67
Belvézet,2022,T1,2
Bernis,2022,T1,12
Bessèges,2022,T1,16
Bez-et-Esparon,2022,T1,3
Bezouce,2022,T1,10
Blandas,2022,T1,0
Blauzac,2022,T1,2
Boisset-et-Gaujac,2022,T1,5
Boissières,2022,T1,1
Bonnevaux,2022,T1,3
Bordezac,2022,T1,2
Boucoiran-et-Nozières,2022,T1,4
Bouillargues,2022,T1,25
Bouquet,2022,T1,0
Bourdic,2022,T1,0
Bragassargues,2022,T1,0
Branoux-les-Taillades,2022,T1,0
Bréau-Mars,2022,T1,4
Brignon,2022,T1,2
Brouzet-lès-Quissac,2022,T1,3
Brouzet-lès-Alès,2022,T1,0
La Bruguière,2022,T1,1
Cabrières,2022,T1,10
La Cadière-et-Cambo,2022,T1,2
Le Cailar,2022,T1,7
Caissargues,2022,T1,12
La Calmette,2022,T1,25
Calvisson,2022,T1,26
Campestre-et-Luc,2022,T1,0
Canaules-et-Argentières,2022,T1,2
Cannes-et-Clairan,2022,T1,0
La Capelle-et-Masmolène,2022,T1,0
Cardet,2022,T1,5
Carnas,2022,T1,2
Carsan,2022,T1,3
Cassagnoles,2022,T1,0
Castelnau-Valence,2022,T1,3
Castillon-du-Gard,2022,T1,22
Causse-Bégon,2022,T1,0
Caveirac,2022,T1,32
Cavillargues,2022,T1,1
Cendras,2022,T1,7
Chambon,2022,T1,1
Chamborigaud,2022,T1,1
Chusclan,2022,T1,8
Clarensac,2022,T1,17
Codognan,2022,T1,5
Codolet,2022,T1,3
Collias,2022,T1,8
Collorgues,2022,T1,2
Colognac,2022,T1,0
Combas,2022,T1,3
Comps,2022,T1,2
Concoules,2022,T1,2
Congénies,2022,T1,2
Connaux,2022,T1,8
Conqueyrac,2022,T1,0
Corconne,2022,T1,2
Cornillon,2022,T1,3
Courry,2022,T1,2
Crespian,2022,T1,2
Cros,2022,T1,1
Cruviers-Lascours,2022,T1,5
Deaux,2022,T1,1
Dions,2022,T1,3
Domazan,2022,T1,11
Domessargues,2022,T1,0
Dourbies,2022,T1,2
Durfort-et-Saint-Martin-de-Sossenac,2022,T1,5
Estézargues,2022,T1,6
L'Estréchure,2022,T1,0
Euzet,2022,T1,4
Flaux,2022,T1,1
Foissac,2022,T1,1
Fons,2022,T1,5
Fons-sur-Lussan,2022,T1,0
Fontanès,2022,T1,2
Fontarèches,2022,T1,1
Fournès,2022,T1,8
Fourques,2022,T1,7
Fressac,2022,T1,5
Gagnières,2022,T1,4
Gailhan,2022,T1,1
Gajan,2022,T1,1
Gallargues-le-Montueux,2022,T1,14
Le Garn,2022,T1,2
Garons,2022,T1,24
Garrigues-Sainte-Eulalie,2022,T1,0
Gaujac,2022,T1,5
Générac,2022,T1,17
Générargues,2022,T1,6
Génolhac,2022,T1,19
Goudargues,2022,T1,6
La Grand-Combe,2022,T1,46
Le Grau-du-Roi,2022,T1,504
Issirac,2022,T1,0
Jonquières-Saint-Vincent,2022,T1,17
Junas,2022,T1,7
Lamelouze,2022,T1,0
Langlade,2022,T1,5
Lanuéjols,2022,T1,8
Lasalle,2022,T1,19
Laudun-l'Ardoise,2022,T1,32
Laval-Pradel,2022,T1,0
Laval-Saint-Roman,2022,T1,2
Lecques,2022,T1,1
Lédenon,2022,T1,9
Lédignan,2022,T1,7
Lézan,2022,T1,16
Liouc,2022,T1,2
Lirac,2022,T1,5
Logrian-Florian,2022,T1,1
Lussan,2022,T1,4
Les Mages,2022,T1,0
Malons-et-Elze,2022,T1,10
Mandagout,2022,T1,0
Manduel,2022,T1,22
Marguerittes,2022,T1,101
Martignargues,2022,T1,0
Le Martinet,2022,T1,32
Maruéjols-lès-Gardon,2022,T1,0
Massanes,2022,T1,0
Massillargues-Attuech,2022,T1,3
Mauressargues,2022,T1,0
Méjannes-le-Clap,2022,T1,2
Méjannes-lès-Alès,2022,T1,3
Meynes,2022,T1,16
Meyrannes,2022,T1,3
Mialet,2022,T1,7
Milhaud,2022,T1,111
Molières-Cavaillac,2022,T1,23
Molières-sur-Cèze,2022,T1,8
Monoblet,2022,T1,1
Mons,2022,T1,7
Montaren-et-Saint-Médiers,2022,T1,4
Montclus,2022,T1,11
Montdardier,2022,T1,1
Monteils,2022,T1,3
Montfaucon,2022,T1,1
Montfrin,2022,T1,9
Montignargues,2022,T1,3
Montmirat,2022,T1,0
Montpezat,2022,T1,10
Moulézan,2022,T1,1
Moussac,2022,T1,2
Mus,2022,T1,11
Nages-et-Solorgues,2022,T1,2
Navacelles,2022,T1,0
Ners,2022,T1,4
Nîmes,2022,T1,6568
Orsan,2022,T1,5
Orthoux-Sérignac-Quilhan,2022,T1,1
Parignargues,2022,T1,0
Peyremale,2022,T1,0
Peyrolles,2022,T1,1
Le Pin,2022,T1,0
Les Plans,2022,T1,0
Les Plantiers,2022,T1,1
Pommiers,2022,T1,1
Pompignan,2022,T1,2
Ponteils-et-Brésis,2022,T1,5
Pont-Saint-Esprit,2022,T1,101
Portes,2022,T1,1
Potelières,2022,T1,1
Pougnadoresse,2022,T1,1
Poulx,2022,T1,10
Pouzilhac,2022,T1,1
Puechredon,2022,T1,0
Pujaut,2022,T1,15
Quissac,2022,T1,13
Redessan,2022,T1,17
Remoulins,2022,T1,28
Revens,2022,T1,0
Ribaute-les-Tavernes,2022,T1,5
Rivières,2022,T1,1
Robiac-Rochessadoule,2022,T1,2
Rochefort-du-Gard,2022,T1,31
Rochegude,2022,T1,1
Rogues,2022,T1,1
Roquedur,2022,T1,5
Roquemaure,2022,T1,41
La Roque-sur-Cèze,2022,T1,1
Rousson,2022,T1,6
La Rouvière,2022,T1,0
Sabran,2022,T1,9
Saint-Alexandre,2022,T1,5
Saint-Ambroix,2022,T1,57
Sainte-Anastasie,2022,T1,7
Saint-André-de-Majencoules,2022,T1,2
Saint-André-de-Roquepertuis,2022,T1,3
Saint-André-de-Valborgne,2022,T1,4
Saint-André-d'Olérargues,2022,T1,3
Saint-Bauzély,2022,T1,0
Saint-Bénézet,2022,T1,1
Saint-Bonnet-du-Gard,2022,T1,5
Saint-Bonnet-de-Salendrinque,2022,T1,1
Saint-Brès,2022,T1,4
Saint-Bresson,2022,T1,1
Sainte-Cécile-d'Andorge,2022,T1,5
Saint-Césaire-de-Gauzignan,2022,T1,1
Saint-Chaptes,2022,T1,9
Saint-Christol-de-Rodières,2022,T1,2
Saint-Christol-lez-Alès,2022,T1,30
Saint-Clément,2022,T1,2
Saint-Côme-et-Maruéjols,2022,T1,2
Sainte-Croix-de-Caderle,2022,T1,1
Saint-Denis,2022,T1,1
Saint-Dézéry,2022,T1,1
Saint-Dionisy,2022,T1,5
Saint-Étienne-de-l'Olm,2022,T1,0
Saint-Étienne-des-Sorts,2022,T1,6
Saint-Félix-de-Pallières,2022,T1,2
Saint-Florent-sur-Auzonnet,2022,T1,4
Saint-Geniès-de-Comolas,2022,T1,8
Saint-Geniès-de-Malgoirès,2022,T1,20
Saint-Gervais,2022,T1,2
Saint-Gervasy,2022,T1,8
Saint-Gilles,2022,T1,126
Saint-Hilaire-de-Brethmas,2022,T1,16
Saint-Hilaire-d'Ozilhan,2022,T1,3
Saint-Hippolyte-de-Caton,2022,T1,0
Saint-Hippolyte-de-Montaigu,2022,T1,1
Saint-Hippolyte-du-Fort,2022,T1,52
Saint-Jean-de-Ceyrargues,2022,T1,0
Saint-Jean-de-Crieulon,2022,T1,0
Saint-Jean-de-Maruéjols-et-Avéjan,2022,T1,7
Saint-Jean-de-Serres,2022,T1,2
Saint-Jean-de-Valériscle,2022,T1,2
Saint-Jean-du-Gard,2022,T1,58
Saint-Jean-du-Pin,2022,T1,5
Saint-Julien-de-Cassagnas,2022,T1,2
Saint-Julien-de-la-Nef,2022,T1,3
Saint-Julien-de-Peyrolas,2022,T1,2
Saint-Julien-les-Rosiers,2022,T1,1
Saint-Just-et-Vacquières,2022,T1,0
Saint-Laurent-d'Aigouze,2022,T1,25
Saint-Laurent-de-Carnols,2022,T1,2
Saint-Laurent-des-Arbres,2022,T1,7
Saint-Laurent-la-Vernède,2022,T1,3
Saint-Laurent-le-Minier,2022,T1,3
Saint-Mamert-du-Gard,2022,T1,2
Saint-Marcel-de-Careiret,2022,T1,5
Saint-Martial,2022,T1,3
Saint-Martin-de-Valgalgues,2022,T1,12
Saint-Maurice-de-Cazevieille,2022,T1,8
Saint-Maximin,2022,T1,3
Saint-Michel-d'Euzet,2022,T1,0
Saint-Nazaire,2022,T1,4
Saint-Nazaire-des-Gardies,2022,T1,1
Saint-Paulet-de-Caisson,2022,T1,6
Saint-Paul-la-Coste,2022,T1,6
Saint-Pons-la-Calm,2022,T1,1
Saint-Privat-de-Champclos,2022,T1,1
Saint-Privat-des-Vieux,2022,T1,12
Saint-Quentin-la-Poterie,2022,T1,13
Saint-Roman-de-Codières,2022,T1,4
Saint-Sauveur-Camprieu,2022,T1,2
Saint-Sébastien-d'Aigrefeuille,2022,T1,1
Saint-Siffret,2022,T1,2
Saint-Théodorit,2022,T1,2
Saint-Victor-des-Oules,2022,T1,1
Saint-Victor-la-Coste,2022,T1,4
Saint-Victor-de-Malcap,2022,T1,3
Salazac,2022,T1,1
Salindres,2022,T1,16
Salinelles,2022,T1,2
Les Salles-du-Gardon,2022,T1,8
Sanilhac-Sagriès,2022,T1,4
Sardan,2022,T1,1
Saumane,2022,T1,0
Sauve,2022,T1,25
Sauveterre,2022,T1,9
Sauzet,2022,T1,1
Savignargues,2022,T1,1
Saze,2022,T1,17
Sénéchas,2022,T1,2
Sernhac,2022,T1,9
Servas,2022,T1,3
Serviers-et-Labaume,2022,T1,1
Seynes,2022,T1,1
Sommières,2022,T1,81
Soudorgues,2022,T1,4
Soustelle,2022,T1,2
Souvignargues,2022,T1,0
Sumène,2022,T1,8
Tavel,2022,T1,7
Tharaux,2022,T1,0
Théziers,2022,T1,2
Thoiras-Corbès,2022,T1,12
Tornac,2022,T1,6
Tresques,2022,T1,8
Trèves,2022,T1,1
Uchaud,2022,T1,30
Uzès,2022,T1,222
Vabres,2022,T1,0
Vallabrègues,2022,T1,10
Vallabrix,2022,T1,0
Vallérargues,2022,T1,0
Val-d'Aigoual,2022,T1,16
Valliguières,2022,T1,12
Vauvert,2022,T1,81
Vénéjan,2022,T1,2
Verfeuil,2022,T1,20
Vergèze,2022,T1,39
La Vernarède,2022,T1,2
Vers-Pont-du-Gard,2022,T1,9
Vestric-et-Candiac,2022,T1,7
Vézénobres,2022,T1,27
Vic-le-Fesq,2022,T1,4
Le Vigan,2022,T1,97
Villeneuve-lès-Avignon,2022,T1,299
Villevieille,2022,T1,8
Vissec,2022,T1,0
Montagnac,2022,T1,0
Saint-Paul-les-Fonts,2022,T1,1
Rodilhan,2022,T1,105
Abeilhan,2022,T1,0
Adissan,2022,T1,1
Agde,2022,T1,923
Agel,2022,T1,0
Agonès,2022,T1,2
Aigne,2022,T1,1
Aigues-Vives,2022,T1,1
Les Aires,2022,T1,3
Alignan-du-Vent,2022,T1,4
Aniane,2022,T1,32
Arboras,2022,T1,7
Argelliers,2022,T1,17
Aspiran,2022,T1,5
Assas,2022,T1,7
Assignan,2022,T1,3
Aumelas,2022,T1,1
Aumes,2022,T1,1
Autignac,2022,T1,5
Avène,2022,T1,5
Azillanet,2022,T1,0
Babeau-Bouldoux,2022,T1,1
Baillargues,2022,T1,138
Balaruc-les-Bains,2022,T1,113
Balaruc-le-Vieux,2022,T1,14
Bassan,2022,T1,6
Beaufort,2022,T1,2
Beaulieu,2022,T1,2
Bédarieux,2022,T1,107
Bélarga,2022,T1,1
Berlou,2022,T1,0
Bessan,2022,T1,17
Béziers,2022,T1,1749
Boisseron,2022,T1,5
Boisset,2022,T1,2
La Boissière,2022,T1,4
Le Bosc,2022,T1,3
Boujan-sur-Libron,2022,T1,30
Le Bousquet-d'Orb,2022,T1,7
Bouzigues,2022,T1,24
Brenas,2022,T1,1
Brignac,2022,T1,5
Brissac,2022,T1,1
Buzignargues,2022,T1,0
Cabrerolles,2022,T1,2
Cabrières,2022,T1,4
Cambon-et-Salvergues,2022,T1,0
Campagnan,2022,T1,1
Campagne,2022,T1,6
Camplong,2022,T1,1
Candillargues,2022,T1,10
Canet,2022,T1,9
Capestang,2022,T1,14
Carlencas-et-Levas,2022,T1,0
Cassagnoles,2022,T1,0
Castanet-le-Haut,2022,T1,0
Castelnau-de-Guers,2022,T1,4
Castelnau-le-Lez,2022,T1,1274
Castries,2022,T1,66
La Caunette,2022,T1,1
Causse-de-la-Selle,2022,T1,2
Causses-et-Veyran,2022,T1,4
Caussiniojouls,2022,T1,0
Caux,2022,T1,7
Le Caylar,2022,T1,10
Cazedarnes,2022,T1,1
Cazevieille,2022,T1,0
Cazilhac,2022,T1,4
Cazouls-d'Hérault,2022,T1,0
Cazouls-lès-Béziers,2022,T1,23
Cébazan,2022,T1,3
Ceilhes-et-Rocozels,2022,T1,3
Celles,2022,T1,2
Cers,2022,T1,4
Cessenon-sur-Orb,2022,T1,7
Cesseras,2022,T1,1
Ceyras,2022,T1,6
Clapiers,2022,T1,81
Claret,2022,T1,7
Clermont-l'Hérault,2022,T1,135
Colombières-sur-Orb,2022,T1,1
Colombiers,2022,T1,39
Combaillaux,2022,T1,4
Combes,2022,T1,1
Corneilhan,2022,T1,3
Coulobres,2022,T1,0
Courniou,2022,T1,1
Cournonsec,2022,T1,30
Cournonterral,2022,T1,52
Creissan,2022,T1,5
Le Crès,2022,T1,59
Le Cros,2022,T1,0
Cruzy,2022,T1,2
Espondeilhan,2022,T1,4
Fabrègues,2022,T1,46
Faugères,2022,T1,3
Félines-Minervois,2022,T1,8
Ferrals-les-Montagnes,2022,T1,1
Ferrières-les-Verreries,2022,T1,0
Ferrières-Poussarou,2022,T1,0
Florensac,2022,T1,17
Fontanès,2022,T1,0
Fontès,2022,T1,7
Fos,2022,T1,1
Fouzilhon,2022,T1,0
Fozières,2022,T1,1
Fraisse-sur-Agout,2022,T1,4
Frontignan,2022,T1,129
Gabian,2022,T1,3
Galargues,2022,T1,2
Ganges,2022,T1,62
Garrigues,2022,T1,0
Gigean,2022,T1,23
Gignac,2022,T1,75
Gorniès,2022,T1,1
Grabels,2022,T1,612
Graissessac,2022,T1,4
Guzargues,2022,T1,3
Hérépian,2022,T1,11
Jacou,2022,T1,59
Joncels,2022,T1,2
Jonquières,2022,T1,2
Juvignac,2022,T1,317
Lacoste,2022,T1,1
Lagamas,2022,T1,0
Lamalou-les-Bains,2022,T1,49
Lansargues,2022,T1,12
Laroque,2022,T1,7
Lattes,2022,T1,459
Laurens,2022,T1,1
Lauret,2022,T1,0
Lauroux,2022,T1,0
Lavalette,2022,T1,0
Lavérune,2022,T1,24
Lespignan,2022,T1,14
Lézignan-la-Cèbe,2022,T1,3
Liausson,2022,T1,1
Lieuran-Cabrières,2022,T1,3
Lieuran-lès-Béziers,2022,T1,0
Lignan-sur-Orb,2022,T1,5
La Livinière,2022,T1,0
Lodève,2022,T1,128
Loupian,2022,T1,10
Lunas-les-Châteaux,2022,T1,3
Lunel,2022,T1,407
Lunel-Viel,2022,T1,8
Magalas,2022,T1,9
Maraussan,2022,T1,11
Margon,2022,T1,1
Marseillan,2022,T1,87
Marsillargues,2022,T1,102
Mas-de-Londres,2022,T1,6
Les Matelles,2022,T1,5
Mauguio,2022,T1,592
Maureilhan,2022,T1,3
Mérifons,2022,T1,0
Mèze,2022,T1,155
Minerve,2022,T1,3
Mireval,2022,T1,19
Mons,2022,T1,1
Montady,2022,T1,8
Montagnac,2022,T1,29
Montarnaud,2022,T1,12
Montaud,2022,T1,4
Montbazin,2022,T1,18
Montblanc,2022,T1,13
Montels,2022,T1,0
Montesquieu,2022,T1,0
Montferrier-sur-Lez,2022,T1,48
Montouliers,2022,T1,1
Montoulieu,2022,T1,4
Montpellier,2022,T1,31660
Montpeyroux,2022,T1,4
Moulès-et-Baucels,2022,T1,8
Mourèze,2022,T1,5
Mudaison,2022,T1,18
Murles,2022,T1,0
Murviel-lès-Béziers,2022,T1,2
Murviel-lès-Montpellier,2022,T1,9
Nébian,2022,T1,7
Neffiès,2022,T1,3
Nézignan-l'Évêque,2022,T1,2
Nissan-lez-Enserune,2022,T1,17
Nizas,2022,T1,4
Notre-Dame-de-Londres,2022,T1,2
Octon,2022,T1,4
Olargues,2022,T1,6
Olmet-et-Villecun,2022,T1,2
Olonzac,2022,T1,9
Oupia,2022,T1,1
Pailhès,2022,T1,0
Palavas-les-Flots,2022,T1,346
Pardailhan,2022,T1,3
Paulhan,2022,T1,21
Pégairolles-de-Buèges,2022,T1,0
Pégairolles-de-l'Escalette,2022,T1,0
Péret,2022,T1,1
Pérols,2022,T1,232
Pézenas,2022,T1,194
Pézènes-les-Mines,2022,T1,0
Pierrerue,2022,T1,2
Pignan,2022,T1,44
Pinet,2022,T1,3
Plaissan,2022,T1,6
Les Plans,2022,T1,3
Poilhes,2022,T1,7
Pomérols,2022,T1,11
Popian,2022,T1,1
Portiragnes,2022,T1,20
Le Pouget,2022,T1,7
Le Poujol-sur-Orb,2022,T1,11
Poujols,2022,T1,0
Poussan,2022,T1,77
Pouzolles,2022,T1,2
Pouzols,2022,T1,1
Le Pradal,2022,T1,0
Prades-le-Lez,2022,T1,48
Prades-sur-Vernazobre,2022,T1,1
Prémian,2022,T1,2
Le Puech,2022,T1,0
Puéchabon,2022,T1,4
Puilacher,2022,T1,2
Puimisson,2022,T1,3
Puissalicon,2022,T1,4
Puisserguier,2022,T1,13
Quarante,2022,T1,7
Restinclières,2022,T1,10
Rieussec,2022,T1,0
Riols,2022,T1,1
Les Rives,2022,T1,0
Romiguières,2022,T1,1
Roquebrun,2022,T1,2
Roqueredonde,2022,T1,7
Roquessels,2022,T1,2
Rosis,2022,T1,5
Rouet,2022,T1,0
Roujan,2022,T1,9
Saint-André-de-Buèges,2022,T1,1
Saint-André-de-Sangonis,2022,T1,22
Saint-Aunès,2022,T1,31
Saint-Bauzille-de-la-Sylve,2022,T1,2
Saint-Bauzille-de-Montmel,2022,T1,2
Saint-Bauzille-de-Putois,2022,T1,7
Saint-Brès,2022,T1,40
Saint-Chinian,2022,T1,4
Entre-Vignes,2022,T1,3
Saint-Clément-de-Rivière,2022,T1,255
Sainte-Croix-de-Quintillargues,2022,T1,3
Saint-Drézéry,2022,T1,7
Saint-Étienne-d'Albagnan,2022,T1,3
Saint-Étienne-de-Gourgas,2022,T1,0
Saint-Étienne-Estréchoux,2022,T1,0
Saint-Félix-de-l'Héras,2022,T1,0
Saint-Félix-de-Lodez,2022,T1,9
Saint-Gély-du-Fesc,2022,T1,46
Saint-Geniès-des-Mourgues,2022,T1,5
Saint-Geniès-de-Varensal,2022,T1,0
Saint-Geniès-de-Fontedit,2022,T1,2
Saint-Georges-d'Orques,2022,T1,36
Saint-Gervais-sur-Mare,2022,T1,6
Saint-Guilhem-le-Désert,2022,T1,4
Saint-Guiraud,2022,T1,1
Saint-Hilaire-de-Beauvoir,2022,T1,0
Saint-Jean-de-Buèges,2022,T1,1
Saint-Jean-de-Cornies,2022,T1,1
Saint-Jean-de-Cuculles,2022,T1,2
Saint-Jean-de-Fos,2022,T1,10
Saint-Jean-de-la-Blaquière,2022,T1,5
Saint-Jean-de-Minervois,2022,T1,0
Saint-Jean-de-Védas,2022,T1,122
Saint-Julien,2022,T1,4
Saint-Just,2022,T1,9
Saint-Martin-de-l'Arçon,2022,T1,1
Saint-Martin-de-Londres,2022,T1,25
Saint-Mathieu-de-Tréviers,2022,T1,24
Saint-Maurice-Navacelles,2022,T1,2
Saint-Michel,2022,T1,0
Saint-Nazaire-de-Ladarez,2022,T1,3
Saint-Nazaire-de-Pézan,2022,T1,4
Saint-Pargoire,2022,T1,4
Saint-Paul-et-Valmalle,2022,T1,7
Saint-Pierre-de-la-Fage,2022,T1,0
Saint-Pons-de-Thomières,2022,T1,11
Saint-Pons-de-Mauchiens,2022,T1,3
Saint-Privat,2022,T1,6
Saint-Saturnin-de-Lucian,2022,T1,1
Saint-Sériès,2022,T1,0
Saint-Thibéry,2022,T1,18
Saint-Vincent-de-Barbeyrargues,2022,T1,1
Saint-Vincent-d'Olargues,2022,T1,7
Salasc,2022,T1,2
La Salvetat-sur-Agout,2022,T1,4
Saturargues,2022,T1,1
Saussan,2022,T1,5
Saussines,2022,T1,5
Sauteyrargues,2022,T1,2
Sauvian,2022,T1,5
Sérignan,2022,T1,52
Servian,2022,T1,19
Sète,2022,T1,1200
Siran,2022,T1,2
Sorbs,2022,T1,0
Soubès,2022,T1,2
Le Soulié,2022,T1,1
Soumont,2022,T1,0
Sussargues,2022,T1,11
Taussac-la-Billière,2022,T1,0
Teyran,2022,T1,15
Thézan-lès-Béziers,2022,T1,7
Tourbes,2022,T1,5
La Tour-sur-Orb,2022,T1,4
Tressan,2022,T1,1
Le Triadou,2022,T1,0
Usclas-d'Hérault,2022,T1,0
Usclas-du-Bosc,2022,T1,0
La Vacquerie-et-Saint-Martin-de-Castries,2022,T1,2
Vacquières,2022,T1,4
Vailhan,2022,T1,0
Vailhauquès,2022,T1,6
Valergues,2022,T1,6
Valflaunès,2022,T1,4
Valmascle,2022,T1,1
Valras-Plage,2022,T1,94
Valros,2022,T1,28
Vélieux,2022,T1,1
Vendargues,2022,T1,138
Vendémian,2022,T1,3
Vendres,2022,T1,5
Verreries-de-Moussans,2022,T1,0
Vias,2022,T1,50
Vic-la-Gardiole,2022,T1,24
Vieussan,2022,T1,2
Villemagne-l'Argentière,2022,T1,3
Villeneuve-lès-Béziers,2022,T1,32
Villeneuve-lès-Maguelone,2022,T1,121
Villeneuvette,2022,T1,0
Villespassans,2022,T1,2
Villetelle,2022,T1,6
Villeveyrac,2022,T1,5
Viols-en-Laval,2022,T1,0
Viols-le-Fort,2022,T1,6
La Grande-Motte,2022,T1,1156
Aigaliers,2021,T1,4
Aigremont,2021,T1,4
Aigues-Mortes,2021,T1,73
Aigues-Vives,2021,T1,24
Aiguèze,2021,T1,0
Aimargues,2021,T1,26
Alès,2021,T1,1229
Allègre-les-Fumades,2021,T1,8
Alzon,2021,T1,0
Anduze,2021,T1,57
Les Angles,2021,T1,104
Aramon,2021,T1,46
Argilliers,2021,T1,0
Arpaillargues-et-Aureillac,2021,T1,2
Arphy,2021,T1,3
Arre,2021,T1,1
Arrigas,2021,T1,0
Aspères,2021,T1,1
Aubais,2021,T1,24
Aubord,2021,T1,5
Aubussargues,2021,T1,0
Aujac,2021,T1,1
Aujargues,2021,T1,1
Aulas,2021,T1,1
Aumessas,2021,T1,3
Avèze,2021,T1,7
Bagard,2021,T1,5
Bagnols-sur-Cèze,2021,T1,264
Barjac,2021,T1,15
Baron,2021,T1,0
La Bastide-d'Engras,2021,T1,1
Beaucaire,2021,T1,170
Beauvoisin,2021,T1,24
Bellegarde,2021,T1,66
Belvézet,2021,T1,2
Bernis,2021,T1,11
Bessèges,2021,T1,16
Bez-et-Esparon,2021,T1,5
Bezouce,2021,T1,10
Blandas,2021,T1,1
Blauzac,2021,T1,2
Boisset-et-Gaujac,2021,T1,5
Boissières,2021,T1,1
Bonnevaux,2021,T1,3
Bordezac,2021,T1,2
Boucoiran-et-Nozières,2021,T1,2
Bouillargues,2021,T1,25
Bouquet,2021,T1,0
Bourdic,2021,T1,0
Bragassargues,2021,T1,0
Branoux-les-Taillades,2021,T1,0
Bréau-Mars,2021,T1,2
Brignon,2021,T1,2
Brouzet-lès-Quissac,2021,T1,3
Brouzet-lès-Alès,2021,T1,0
La Bruguière,2021,T1,1
Cabrières,2021,T1,9
La Cadière-et-Cambo,2021,T1,2
Le Cailar,2021,T1,7
Caissargues,2021,T1,11
La Calmette,2021,T1,25
Calvisson,2021,T1,24
Campestre-et-Luc,2021,T1,0
Canaules-et-Argentières,2021,T1,2
Cannes-et-Clairan,2021,T1,0
La Capelle-et-Masmolène,2021,T1,0
Cardet,2021,T1,1
Carnas,2021,T1,2
Carsan,2021,T1,3
Cassagnoles,2021,T1,0
Castelnau-Valence,2021,T1,3
Castillon-du-Gard,2021,T1,21
Causse-Bégon,2021,T1,0
Caveirac,2021,T1,31
Cavillargues,2021,T1,0
Cendras,2021,T1,7
Chambon,2021,T1,1
Chamborigaud,2021,T1,1
Chusclan,2021,T1,7
Clarensac,2021,T1,16
Codognan,2021,T1,5
Codolet,2021,T1,3
Collias,2021,T1,13
Collorgues,2021,T1,0
Colognac,2021,T1,0
Combas,2021,T1,3
Comps,2021,T1,2
Concoules,2021,T1,1
Congénies,2021,T1,2
Connaux,2021,T1,8
Conqueyrac,2021,T1,0
Corbès,2021,T1,1
Corconne,2021,T1,2
Cornillon,2021,T1,3
Courry,2021,T1,2
Crespian,2021,T1,2
Cros,2021,T1,1
Cruviers-Lascours,2021,T1,5
Deaux,2021,T1,1
Dions,2021,T1,3
Domazan,2021,T1,11
Domessargues,2021,T1,0
Dourbies,2021,T1,5
Durfort-et-Saint-Martin-de-Sossenac,2021,T1,5
Estézargues,2021,T1,6
L'Estréchure,2021,T1,0
Euzet,2021,T1,0
Flaux,2021,T1,1
Foissac,2021,T1,1
Fons,2021,T1,5
Fons-sur-Lussan,2021,T1,0
Fontanès,2021,T1,2
Fontarèches,2021,T1,1
Fournès,2021,T1,8
Fourques,2021,T1,7
Fressac,2021,T1,5
Gagnières,2021,T1,4
Gailhan,2021,T1,1
Gajan,2021,T1,1
Gallargues-le-Montueux,2021,T1,14
Le Garn,2021,T1,2
Garons,2021,T1,24
Garrigues-Sainte-Eulalie,2021,T1,0
Gaujac,2021,T1,5
Générac,2021,T1,16
Générargues,2021,T1,8
Génolhac,2021,T1,19
Goudargues,2021,T1,6
La Grand-Combe,2021,T1,48
Le Grau-du-Roi,2021,T1,482
Issirac,2021,T1,0
Jonquières-Saint-Vincent,2021,T1,17
Junas,2021,T1,6
Lamelouze,2021,T1,0
Langlade,2021,T1,3
Lanuéjols,2021,T1,8
Lasalle,2021,T1,20
Laudun-l'Ardoise,2021,T1,31
Laval-Pradel,2021,T1,0
Laval-Saint-Roman,2021,T1,2
Lecques,2021,T1,1
Lédenon,2021,T1,9
Lédignan,2021,T1,7
Lézan,2021,T1,15
Liouc,2021,T1,2
Lirac,2021,T1,6
Logrian-Florian,2021,T1,1
Lussan,2021,T1,4
Les Mages,2021,T1,0
Malons-et-Elze,2021,T1,11
Mandagout,2021,T1,0
Manduel,2021,T1,31
Marguerittes,2021,T1,99
Martignargues,2021,T1,0
Le Martinet,2021,T1,33
Maruéjols-lès-Gardon,2021,T1,0
Massanes,2021,T1,0
Massillargues-Attuech,2021,T1,3
Mauressargues,2021,T1,0
Méjannes-le-Clap,2021,T1,2
Méjannes-lès-Alès,2021,T1,3
Meynes,2021,T1,16
Meyrannes,2021,T1,3
Mialet,2021,T1,7
Milhaud,2021,T1,106
