AN,LIBGEO,STATUT,NOMBRE
2022,Estézargues,Locataire HLM (logement loué vide),0.0
2022,L'Estréchure,Locataire HLM (logement loué vide),0.968152866242038
2022,Euzet,Locataire HLM (logement loué vide),0.0
2022,Flaux,Locataire HLM (logement loué vide),0.0
2022,Foissac,Locataire HLM (logement loué vide),1.95883698080473
2022,Fons,Locataire HLM (logement loué vide),15.819698083748
2022,Fons-sur-Lussan,Locataire HLM (logement loué vide),0.897873987436919
2022,Fontanès,Locataire HLM (logement loué vide),0.0
2022,Fontarèches,Locataire HLM (logement loué vide),0.0
2022,Fournès,Locataire HLM (logement loué vide),0.0
2022,Fourques,Locataire HLM (logement loué vide),0.0
2022,Fressac,Locataire HLM (logement loué vide),0.0
2022,Gagnières,Locataire HLM (logement loué vide),25.4501321114089
2022,Gailhan,Locataire HLM (logement loué vide),1.38792953898158
2022,Gajan,Locataire HLM (logement loué vide),0.0
2022,Gallargues-le-Montueux,Locataire HLM (logement loué vide),66.6669680315204
2022,Le Garn,Locataire HLM (logement loué vide),0.0
2022,Garons,Locataire HLM (logement loué vide),156.059092542683
2022,Garrigues-Sainte-Eulalie,Locataire HLM (logement loué vide),0.0
2022,Gaujac,Locataire HLM (logement loué vide),17.6293218134219
2022,Générac,Locataire HLM (logement loué vide),38.5136490503454
2022,Générargues,Locataire HLM (logement loué vide),0.0
2022,Génolhac,Locataire HLM (logement loué vide),13.0
2022,Goudargues,Locataire HLM (logement loué vide),14.0595725055381
2022,La Grand-Combe,Locataire HLM (logement loué vide),614.731829985881
2022,Le Grau-du-Roi,Locataire HLM (logement loué vide),327.087460045288
2022,Issirac,Locataire HLM (logement loué vide),0.0
2022,Jonquières-Saint-Vincent,Locataire HLM (logement loué vide),41.591192883698
2022,Junas,Locataire HLM (logement loué vide),3.54632081380218
2022,Lamelouze,Locataire HLM (logement loué vide),1.0
2022,Langlade,Locataire HLM (logement loué vide),6.82047685552056
2022,Lanuéjols,Locataire HLM (logement loué vide),4.0
2022,Lasalle,Locataire HLM (logement loué vide),34.757761669248
2022,Laudun-l'Ardoise,Locataire HLM (logement loué vide),322.415679247303
2022,Laval-Pradel,Locataire HLM (logement loué vide),1.08638222241267
2022,Laval-Saint-Roman,Locataire HLM (logement loué vide),0.0
2022,Lecques,Locataire HLM (logement loué vide),0.0
2022,Lédenon,Locataire HLM (logement loué vide),1.03507137687841
2022,Lédignan,Locataire HLM (logement loué vide),45.0522236748093
2022,Lézan,Locataire HLM (logement loué vide),10.0
2022,Liouc,Locataire HLM (logement loué vide),0.0
2022,Lirac,Locataire HLM (logement loué vide),18.1438008204406
2022,Logrian-Florian,Locataire HLM (logement loué vide),0.0
2022,Lussan,Locataire HLM (logement loué vide),2.83855066936614
2022,Les Mages,Locataire HLM (logement loué vide),3.08490593186563
2022,Malons-et-Elze,Locataire HLM (logement loué vide),0.0
2022,Mandagout,Locataire HLM (logement loué vide),0.0
2022,Manduel,Locataire HLM (logement loué vide),214.437110850447
2022,Marguerittes,Locataire HLM (logement loué vide),216.0
2022,Martignargues,Locataire HLM (logement loué vide),0.0
2022,Le Martinet,Locataire HLM (logement loué vide),32.9676541828439
2022,Maruéjols-lès-Gardon,Locataire HLM (logement loué vide),0.0
2022,Massanes,Locataire HLM (logement loué vide),0.0
2022,Massillargues-Attuech,Locataire HLM (logement loué vide),0.0
2022,Mauressargues,Locataire HLM (logement loué vide),0.0
2022,Méjannes-le-Clap,Locataire HLM (logement loué vide),15.0
2022,Méjannes-lès-Alès,Locataire HLM (logement loué vide),0.0
2022,Meynes,Locataire HLM (logement loué vide),0.0
2022,Meyrannes,Locataire HLM (logement loué vide),0.892237585474001
2022,Mialet,Locataire HLM (logement loué vide),0.0
2022,Milhaud,Locataire HLM (logement loué vide),382.103655237415
2022,Molières-Cavaillac,Locataire HLM (logement loué vide),0.0
2022,Molières-sur-Cèze,Locataire HLM (logement loué vide),143.032692836917
2022,Monoblet,Locataire HLM (logement loué vide),6.40453261550911
2022,Mons,Locataire HLM (logement loué vide),0.0
2022,Montaren-et-Saint-Médiers,Locataire HLM (logement loué vide),0.0
2022,Montclus,Locataire HLM (logement loué vide),0.0
2022,Montdardier,Locataire HLM (logement loué vide),0.0
2022,Monteils,Locataire HLM (logement loué vide),0.0
2022,Montfaucon,Locataire HLM (logement loué vide),4.09106752792001
2022,Montfrin,Locataire HLM (logement loué vide),4.98973020690557
2022,Montignargues,Locataire HLM (logement loué vide),0.0
2022,Montmirat,Locataire HLM (logement loué vide),9.70419211727057
2022,Montpezat,Locataire HLM (logement loué vide),9.85800418649127
2022,Moulézan,Locataire HLM (logement loué vide),0.0
2022,Moussac,Locataire HLM (logement loué vide),9.59895216965685
2022,Mus,Locataire HLM (logement loué vide),25.0
2022,Nages-et-Solorgues,Locataire HLM (logement loué vide),21.5631940687748
2022,Navacelles,Locataire HLM (logement loué vide),0.0
2022,Ners,Locataire HLM (logement loué vide),0.0
2022,Nîmes,Locataire HLM (logement loué vide),12744.6674854445
2022,Orsan,Locataire HLM (logement loué vide),18.2782603574923
2022,Orthoux-Sérignac-Quilhan,Locataire HLM (logement loué vide),0.0
2022,Parignargues,Locataire HLM (logement loué vide),0.962263918504599
2022,Peyremale,Locataire HLM (logement loué vide),0.0
2022,Peyrolles,Locataire HLM (logement loué vide),0.0
2022,Le Pin,Locataire HLM (logement loué vide),0.0
2022,Les Plans,Locataire HLM (logement loué vide),0.0
2022,Les Plantiers,Locataire HLM (logement loué vide),2.0
2022,Pommiers,Locataire HLM (logement loué vide),0.0
2022,Pompignan,Locataire HLM (logement loué vide),5.0
2022,Ponteils-et-Brésis,Locataire HLM (logement loué vide),0.0
2022,Pont-Saint-Esprit,Locataire HLM (logement loué vide),512.899003026364
2022,Portes,Locataire HLM (logement loué vide),3.0
2022,Potelières,Locataire HLM (logement loué vide),0.0
2022,Pougnadoresse,Locataire HLM (logement loué vide),0.0
2022,Poulx,Locataire HLM (logement loué vide),34.3387853328032
2022,Pouzilhac,Locataire HLM (logement loué vide),0.0
2022,Puechredon,Locataire HLM (logement loué vide),0.0
2022,Pujaut,Locataire HLM (logement loué vide),0.0
2022,Quissac,Locataire HLM (logement loué vide),85.6803547724197
2022,Redessan,Locataire HLM (logement loué vide),139.0
2022,Remoulins,Locataire HLM (logement loué vide),57.9386545441228
2022,Revens,Locataire HLM (logement loué vide),0.0
2022,Ribaute-les-Tavernes,Locataire HLM (logement loué vide),0.0
2022,Rivières,Locataire HLM (logement loué vide),4.25173372840687
2022,Robiac-Rochessadoule,Locataire HLM (logement loué vide),4.0
2022,Rochefort-du-Gard,Locataire HLM (logement loué vide),242.0
2022,Rochegude,Locataire HLM (logement loué vide),1.0
2022,Rogues,Locataire HLM (logement loué vide),0.0
2022,Roquedur,Locataire HLM (logement loué vide),0.0
2022,Roquemaure,Locataire HLM (logement loué vide),180.593418671216
2022,La Roque-sur-Cèze,Locataire HLM (logement loué vide),0.0
2022,Rousson,Locataire HLM (logement loué vide),27.8365506556464
2022,La Rouvière,Locataire HLM (logement loué vide),5.75421760903878
2022,Sabran,Locataire HLM (logement loué vide),0.0
2022,Saint-Alexandre,Locataire HLM (logement loué vide),0.0
2022,Saint-Ambroix,Locataire HLM (logement loué vide),91.5345928953526
2022,Sainte-Anastasie,Locataire HLM (logement loué vide),0.0
2022,Saint-André-de-Majencoules,Locataire HLM (logement loué vide),0.0
2022,Saint-André-de-Roquepertuis,Locataire HLM (logement loué vide),0.0
2022,Saint-André-de-Valborgne,Locataire HLM (logement loué vide),2.18856847694104
2022,Saint-André-d'Olérargues,Locataire HLM (logement loué vide),0.0
2022,Saint-Bauzély,Locataire HLM (logement loué vide),1.01508197907563
2022,Saint-Bénézet,Locataire HLM (logement loué vide),1.08547612245687
2022,Saint-Bonnet-du-Gard,Locataire HLM (logement loué vide),0.0
2022,Saint-Bonnet-de-Salendrinque,Locataire HLM (logement loué vide),0.0
2022,Saint-Brès,Locataire HLM (logement loué vide),0.0
2022,Saint-Bresson,Locataire HLM (logement loué vide),0.0
2022,Sainte-Cécile-d'Andorge,Locataire HLM (logement loué vide),0.0
2022,Saint-Césaire-de-Gauzignan,Locataire HLM (logement loué vide),0.0
2022,Saint-Chaptes,Locataire HLM (logement loué vide),74.7830969511805
2022,Saint-Christol-de-Rodières,Locataire HLM (logement loué vide),0.0
2022,Saint-Christol-lez-Alès,Locataire HLM (logement loué vide),203.60903228276
2022,Saint-Clément,Locataire HLM (logement loué vide),0.0
2022,Saint-Côme-et-Maruéjols,Locataire HLM (logement loué vide),11.9004543356612
2022,Sainte-Croix-de-Caderle,Locataire HLM (logement loué vide),0.0
2022,Saint-Denis,Locataire HLM (logement loué vide),0.0
2022,Saint-Dézéry,Locataire HLM (logement loué vide),2.97017886203787
2022,Saint-Dionisy,Locataire HLM (logement loué vide),2.30212506076832
2022,Saint-Étienne-de-l'Olm,Locataire HLM (logement loué vide),0.0
2022,Saint-Étienne-des-Sorts,Locataire HLM (logement loué vide),1.9355908799189
2022,Saint-Félix-de-Pallières,Locataire HLM (logement loué vide),0.0
2022,Saint-Florent-sur-Auzonnet,Locataire HLM (logement loué vide),100.710686331157
2022,Saint-Geniès-de-Comolas,Locataire HLM (logement loué vide),40.2395478314632
2022,Saint-Geniès-de-Malgoirès,Locataire HLM (logement loué vide),144.586917585777
2022,Saint-Gervais,Locataire HLM (logement loué vide),6.08179309122592
2022,Saint-Gervasy,Locataire HLM (logement loué vide),26.4165616826282
2022,Saint-Gilles,Locataire HLM (logement loué vide),686.992216240138
2022,Saint-Hilaire-de-Brethmas,Locataire HLM (logement loué vide),86.289738808282
2022,Saint-Hilaire-d'Ozilhan,Locataire HLM (logement loué vide),0.0
2022,Saint-Hippolyte-de-Caton,Locataire HLM (logement loué vide),0.0
2022,Saint-Hippolyte-de-Montaigu,Locataire HLM (logement loué vide),0.0
2022,Saint-Hippolyte-du-Fort,Locataire HLM (logement loué vide),94.4812368366733
2022,Saint-Jean-de-Ceyrargues,Locataire HLM (logement loué vide),0.0
2022,Saint-Jean-de-Crieulon,Locataire HLM (logement loué vide),0.0
2022,Saint-Jean-de-Maruéjols-et-Avéjan,Locataire HLM (logement loué vide),2.08050010382586
2022,Saint-Jean-de-Serres,Locataire HLM (logement loué vide),0.0
2022,Saint-Jean-de-Valériscle,Locataire HLM (logement loué vide),8.85974633240575
2022,Saint-Jean-du-Gard,Locataire HLM (logement loué vide),43.1990732753947
2022,Saint-Jean-du-Pin,Locataire HLM (logement loué vide),38.9954399762366
2022,Saint-Julien-de-Cassagnas,Locataire HLM (logement loué vide),0.0
2022,Saint-Julien-de-la-Nef,Locataire HLM (logement loué vide),0.0
2022,Saint-Julien-de-Peyrolas,Locataire HLM (logement loué vide),0.0
2022,Saint-Julien-les-Rosiers,Locataire HLM (logement loué vide),49.3276825869194
2022,Saint-Just-et-Vacquières,Locataire HLM (logement loué vide),0.0
2022,Saint-Laurent-d'Aigouze,Locataire HLM (logement loué vide),33.3468772893123
2022,Saint-Laurent-de-Carnols,Locataire HLM (logement loué vide),0.0
2022,Saint-Laurent-des-Arbres,Locataire HLM (logement loué vide),21.6414638032542
2022,Saint-Laurent-la-Vernède,Locataire HLM (logement loué vide),2.0
2022,Saint-Laurent-le-Minier,Locataire HLM (logement loué vide),0.0
2022,Saint-Mamert-du-Gard,Locataire HLM (logement loué vide),0.0
2022,Saint-Marcel-de-Careiret,Locataire HLM (logement loué vide),4.12780940065264
2022,Saint-Martial,Locataire HLM (logement loué vide),0.0
2022,Saint-Martin-de-Valgalgues,Locataire HLM (logement loué vide),295.18233124327
2022,Saint-Maurice-de-Cazevieille,Locataire HLM (logement loué vide),1.0
2022,Saint-Maximin,Locataire HLM (logement loué vide),0.0
2022,Saint-Michel-d'Euzet,Locataire HLM (logement loué vide),0.0
2022,Saint-Nazaire,Locataire HLM (logement loué vide),90.5381849020222
2022,Saint-Nazaire-des-Gardies,Locataire HLM (logement loué vide),0.0
2022,Saint-Paulet-de-Caisson,Locataire HLM (logement loué vide),33.4994906648219
2022,Saint-Paul-la-Coste,Locataire HLM (logement loué vide),1.0
2022,Saint-Pons-la-Calm,Locataire HLM (logement loué vide),0.0
2022,Saint-Privat-de-Champclos,Locataire HLM (logement loué vide),4.14140538503209
2022,Saint-Privat-des-Vieux,Locataire HLM (logement loué vide),120.363716781373
2022,Saint-Quentin-la-Poterie,Locataire HLM (logement loué vide),17.147430439085
2022,Saint-Roman-de-Codières,Locataire HLM (logement loué vide),0.0
2022,Saint-Sauveur-Camprieu,Locataire HLM (logement loué vide),0.0
2022,Saint-Sébastien-d'Aigrefeuille,Locataire HLM (logement loué vide),0.0
2022,Saint-Siffret,Locataire HLM (logement loué vide),0.0
2022,Saint-Théodorit,Locataire HLM (logement loué vide),0.0
2022,Saint-Victor-des-Oules,Locataire HLM (logement loué vide),0.0
2022,Saint-Victor-la-Coste,Locataire HLM (logement loué vide),12.3334704463085
2022,Saint-Victor-de-Malcap,Locataire HLM (logement loué vide),2.89093624858153
2022,Salazac,Locataire HLM (logement loué vide),0.0
2022,Salindres,Locataire HLM (logement loué vide),235.492989389439
2022,Salinelles,Locataire HLM (logement loué vide),0.0
2022,Les Salles-du-Gardon,Locataire HLM (logement loué vide),313.0
2022,Sanilhac-Sagriès,Locataire HLM (logement loué vide),1.0
2022,Sardan,Locataire HLM (logement loué vide),0.0
2022,Saumane,Locataire HLM (logement loué vide),0.978097018976721
2022,Sauve,Locataire HLM (logement loué vide),62.123569447701
2022,Sauveterre,Locataire HLM (logement loué vide),12.0
2022,Sauzet,Locataire HLM (logement loué vide),4.84776985034253
2022,Savignargues,Locataire HLM (logement loué vide),1.08289694059618
2022,Saze,Locataire HLM (logement loué vide),2.8879593650093
2022,Sénéchas,Locataire HLM (logement loué vide),0.0
2022,Sernhac,Locataire HLM (logement loué vide),13.1873834818666
2022,Servas,Locataire HLM (logement loué vide),0.0
2022,Serviers-et-Labaume,Locataire HLM (logement loué vide),0.0
2022,Seynes,Locataire HLM (logement loué vide),0.0
2022,Sommières,Locataire HLM (logement loué vide),321.0
2022,Soudorgues,Locataire HLM (logement loué vide),0.0
2022,Soustelle,Locataire HLM (logement loué vide),0.0
2022,Souvignargues,Locataire HLM (logement loué vide),0.973817868383799
2022,Sumène,Locataire HLM (logement loué vide),21.758701890957
2022,Tavel,Locataire HLM (logement loué vide),14.0
2022,Tharaux,Locataire HLM (logement loué vide),0.0
2022,Théziers,Locataire HLM (logement loué vide),0.99341277405287
2022,Thoiras-Corbès,Locataire HLM (logement loué vide),5.0
2022,Tornac,Locataire HLM (logement loué vide),0.0
2022,Tresques,Locataire HLM (logement loué vide),6.0
2022,Trèves,Locataire HLM (logement loué vide),0.0
2022,Uchaud,Locataire HLM (logement loué vide),218.367448506994
2022,Uzès,Locataire HLM (logement loué vide),571.831916763901
2022,Vabres,Locataire HLM (logement loué vide),0.0
2022,Vallabrègues,Locataire HLM (logement loué vide),0.0
2022,Vallabrix,Locataire HLM (logement loué vide),0.0
2022,Vallérargues,Locataire HLM (logement loué vide),0.0
2022,Val-d'Aigoual,Locataire HLM (logement loué vide),3.0
2022,Valliguières,Locataire HLM (logement loué vide),0.0
2022,Vauvert,Locataire HLM (logement loué vide),979.684112166424
2022,Vénéjan,Locataire HLM (logement loué vide),0.0
2022,Verfeuil,Locataire HLM (logement loué vide),2.96955484633768
2022,Vergèze,Locataire HLM (logement loué vide),176.0
2022,La Vernarède,Locataire HLM (logement loué vide),0.0
2022,Vers-Pont-du-Gard,Locataire HLM (logement loué vide),0.0
2022,Vestric-et-Candiac,Locataire HLM (logement loué vide),16.6305329301631
2022,Vézénobres,Locataire HLM (logement loué vide),30.391628679496
2022,Vic-le-Fesq,Locataire HLM (logement loué vide),0.0
2022,Le Vigan,Locataire HLM (logement loué vide),278.935878153492
2022,Villeneuve-lès-Avignon,Locataire HLM (logement loué vide),499.823110779328
2022,Villevieille,Locataire HLM (logement loué vide),10.1678158542198
2022,Vissec,Locataire HLM (logement loué vide),0.0
2022,Montagnac,Locataire HLM (logement loué vide),0.0
2022,Saint-Paul-les-Fonts,Locataire HLM (logement loué vide),0.936330191736076
2022,Rodilhan,Locataire HLM (logement loué vide),26.751997376501
2022,Abeilhan,Locataire HLM (logement loué vide),16.3427641658097
2022,Adissan,Locataire HLM (logement loué vide),28.3533615665993
2022,Agde,Locataire HLM (logement loué vide),1233.79215936963
2022,Agel,Locataire HLM (logement loué vide),0.0
2022,Agonès,Locataire HLM (logement loué vide),1.05324756523566
2022,Aigne,Locataire HLM (logement loué vide),0.0
2022,Aigues-Vives,Locataire HLM (logement loué vide),0.0
2022,Les Aires,Locataire HLM (logement loué vide),10.8096034533229
2022,Alignan-du-Vent,Locataire HLM (logement loué vide),12.0406422493472
2022,Aniane,Locataire HLM (logement loué vide),48.7820262808348
2022,Arboras,Locataire HLM (logement loué vide),0.0
2022,Argelliers,Locataire HLM (logement loué vide),0.0
2022,Aspiran,Locataire HLM (logement loué vide),14.0
2022,Assas,Locataire HLM (logement loué vide),0.0
2022,Assignan,Locataire HLM (logement loué vide),0.0
2022,Aumelas,Locataire HLM (logement loué vide),1.20092053751921
2022,Aumes,Locataire HLM (logement loué vide),1.05482798341126
2022,Autignac,Locataire HLM (logement loué vide),14.5834853981054
2022,Avène,Locataire HLM (logement loué vide),6.0
2022,Azillanet,Locataire HLM (logement loué vide),1.06501439077496
2022,Babeau-Bouldoux,Locataire HLM (logement loué vide),0.0
2022,Baillargues,Locataire HLM (logement loué vide),300.036874715292
2022,Balaruc-les-Bains,Locataire HLM (logement loué vide),446.711693355486
2022,Balaruc-le-Vieux,Locataire HLM (logement loué vide),83.0
2022,Bassan,Locataire HLM (logement loué vide),27.0
