LIBGEO,AN,ANNEE_CONS,NOMBRE
Mauressargues,2022,Construites avant 1919,
Méjannes-le-Clap,2022,Construites avant 1919,
Méjannes-lès-Alès,2022,Construites avant 1919,
Meynes,2022,Construites avant 1919,
Meyrannes,2022,Construites avant 1919,
Mialet,2022,Construites avant 1919,
Milhaud,2022,Construites avant 1919,
Molières-Cavaillac,2022,Construites avant 1919,
Molières-sur-Cèze,2022,Construites avant 1919,
Monoblet,2022,Construites avant 1919,
Mons,2022,Construites avant 1919,
Montaren-et-Saint-Médiers,2022,Construites avant 1919,
Montclus,2022,Construites avant 1919,
Montdardier,2022,Construites avant 1919,
Monteils,2022,Construites avant 1919,
Montfaucon,2022,Construites avant 1919,
Montfrin,2022,Construites avant 1919,
Montignargues,2022,Construites avant 1919,
Montmirat,2022,Construites avant 1919,
Montpezat,2022,Construites avant 1919,
Moulézan,2022,Construites avant 1919,
Moussac,2022,Construites avant 1919,
Mus,2022,Construites avant 1919,
Nages-et-Solorgues,2022,Construites avant 1919,
Navacelles,2022,Construites avant 1919,
Ners,2022,Construites avant 1919,
Nîmes,2022,Construites avant 1919,
Orsan,2022,Construites avant 1919,
Orthoux-Sérignac-Quilhan,2022,Construites avant 1919,
Parignargues,2022,Construites avant 1919,
Peyremale,2022,Construites avant 1919,
Peyrolles,2022,Construites avant 1919,
Le Pin,2022,Construites avant 1919,
Les Plans,2022,Construites avant 1919,
Les Plantiers,2022,Construites avant 1919,
Pommiers,2022,Construites avant 1919,
Pompignan,2022,Construites avant 1919,
Ponteils-et-Brésis,2022,Construites avant 1919,
Pont-Saint-Esprit,2022,Construites avant 1919,
Portes,2022,Construites avant 1919,
Potelières,2022,Construites avant 1919,
Pougnadoresse,2022,Construites avant 1919,
Poulx,2022,Construites avant 1919,
Pouzilhac,2022,Construites avant 1919,
Puechredon,2022,Construites avant 1919,
Pujaut,2022,Construites avant 1919,
Quissac,2022,Construites avant 1919,
Redessan,2022,Construites avant 1919,
Remoulins,2022,Construites avant 1919,
Revens,2022,Construites avant 1919,
Ribaute-les-Tavernes,2022,Construites avant 1919,
Rivières,2022,Construites avant 1919,
Robiac-Rochessadoule,2022,Construites avant 1919,
Rochefort-du-Gard,2022,Construites avant 1919,
Rochegude,2022,Construites avant 1919,
Rogues,2022,Construites avant 1919,
Roquedur,2022,Construites avant 1919,
